holidayInfo,hoursDetails,info,menuInfo,one_info,address,title
연중무휴,영업시간:매일 11:00 ~ 22:30/저녁 LO:매일 21:40 ~ :,"이태원시장 거리에 위치한 미국식 훈제 바비큐 요리 전문점. 주메뉴로는 코울슬로, 후렌치 후라이, 미니 버거 번 3개가  제공되는  풀드 포크 플래터, 브리스킷 플래터와 2인용 플래터, 4인용 플래터 등이 있습니다. 그 밖에 베이비 백 립, 스페어 립, 풀드 포크 샌드위치 등이 있으며 베이컨 감자 샐러드 등의 사이드 메뉴가 있습니다. 매장은 외부석이 있으며 캠핑장 같은 분위기이며 식사시간에는 웨이팅이 생길 수 있습니다. 월-금 런치, 월-목 디너 예약이 가능하니 참고하면 좋습니다.","2인용 플래터:33000,4인용 플래터(베이비백 립):74000,풀드포크 샌드위치:7900,풀드포크 플래터:15000,브리스킷 샌드위치:10900,브리스킷 플래터:19000",바비큐 플래터에 마시는 시원한 맥주,서울특별시 용산구 이태원로 136-13,라이너스바베큐
정기휴무-매주(일),영업시간:매일 17:00 ~ 01:00,"신선한 연어를 취급하는 전문 이자카야입니다. 메뉴로는 연어 사시미, 연어 샐러드, 연어 타다끼, 생 연어 초밥, 연어 덮밥 등 다양한 연어 요리와 간사이 스지 오뎅탕, 모찌리 도후 등의 사이드 메뉴가 있습니다. 허브와 히말라야 소금이 들어간 특제소스를 이용하여 자체 개발한 숙성법으로 숙성된 연어 사시미가 인기메뉴입니다. 연어 덕후들에게 꼭 추천하는 맛집입니다.","연어사시미(중):24000,생연어초밥:19000,연어토마토 스파이시 샐러드:19000,연어사시미 대:33000,연어 타다키:21000",두툼한 연어 사시미가 인기인 곳,서울특별시 강남구 압구정로2길 60,신사연어
"연휴-설날 전일,연휴-추석 익일,연휴-설날 대체공휴일,연휴-설날 전체,연휴-추석 당일,연휴-설날 익일,연휴-추석 전일,연휴-설날 당일,연휴-추석 대체공휴일,연휴-추석 전체",영업시간:매일 10:00 ~ 23:00,1964년 동두천에서 시작되어 지금의 암사동까지 이르게된 이북음식 전문점입니다. 막국수는 직접 메밀을 빻고 면을 뽑아 메밀 특유의 풍미를 고스란히 느낄 수 있습니다. 인기메뉴인 떡갈비는 20여가지 재료를 넣어 고급스러운 맛을 느낄 수 있습니다.,"평안냉면 (물 / 비빔):9000,소 떡갈비:19000,소 매운떡갈비:19000,돼지떡갈비:11000,떡만두국:10000,반반떡갈비:15000,보따리만두:8000",오랜 역사의 이북음식 전문점,서울특별시 강동구 올림픽로 803,동신면가
정기휴무-매주(일),영업시간:매일 12:00 ~ 23:00,더현대 서울에서 새롭게 문을 연 '리스토란테 에오'는 어윤권 셰프의 컨템포러리 이태리 레스토랑으로 코스메뉴로만 운영됩니다. 소금이나 후추 등 맛이 강한 조미료의 사용을 최대한 줄이고 재료가 가진 본래의 맛을 살려내어 미각에 기대 이상의 즐거움을 선사합니다.,"점심코스(VAT포함):45000,디너코스(VAT포함):98000",재료 본연의 맛을 살린 이탈리안 식당,서울특별시 영등포구 여의대로 108 파크원,리스토란테 에오
연중무휴,영업시간:매일 11:00 ~ 23:00,"짝을 이루는 것들의 색다른 조화를 추구하는 ‘페어링룸’입니다. 청담에 위치한 이곳은 테이스팅룸과 멜팅샵을 성공시킨 건축가와 디자이너 부부의 세 번째 공간입니다. 독특한 식감의 넓은 면을 고소한 메주 소스로 버무리고 후추로 마무리한 ‘항정살 페퍼 메주 파스타’가 대표 메뉴입니다. 외에도 ‘발사믹 관자와 감자퓨레’, ‘보리굴비 녹차 리조또’ 등이 인기입니다.","항정살 패퍼 메주 파스타:28000,발사믹 관자와 감자 퓨레:31000,리코타 올리브 깜빠뉴:18500,스파이시 성게알 파스타:31300,새우 스깜피 알리오 올리오:26000",항정살 파스타가 인기인 퓨전 레스토랑,서울특별시 강남구 도산대로81길 14,페어링룸
"연휴-설날 전일,연휴-추석 익일,연휴-설날 대체공휴일,연휴-설날 전체,연휴-추석 당일,연휴-설날 익일,연휴-추석 전일,연휴-설날 당일,연휴-추석 대체공휴일,연휴-추석 전체","영업시간:일 11:30 ~ 22:00/영업시간:월,화,수,목,금,토 11:30 ~ 04:00","베트남 쌀국수 체인점으로, 쌀국수가 유행하기 전부터 베트남 요리를 국내에 소개한 음식점이라고 합니다. 정통 베트남 요리를 지향하며, 인기메뉴는 퍼보(소소기가 들어간 쌀국수)와 해산물 볶음밥입니다. 볶음밥, 덮밥, 스프링롤, 짜죠 등 국물이 없는 메뉴는 포장도 가능하다고 합니다.","꼼징능주:11500,고이꾸온:8500,짜죠:8500",현지의 맛을 살린 베트남 음식점,서울특별시 강남구 언주로174길 26,리틀사이공압구정점
연중무휴,영업시간:매일 11:30 ~ 22:00/휴식:매일 15:00 ~ 17:30,홍콩에서 온 세 사람의 경험 많은 조리사들이 70여 가지의 정통 광동요리를 선보이는 곳입니다. 모던한 분위기 속에서 새로운 맛을 경험할 수 있습니다. 현지의 맛 그대로 제공하여 이색적인 외식 명소로 자리잡고 있습니다.,"광동식 생선찜:50000,다진 마늘 튀긴 새우:40000,가지와 다진 돼지고기 냄비:25000,광동식 구운 통닭:30000",70여 가지의 정통 광동요리 전문점,서울특별시 강남구 논현로175길 107,채운
"정기휴무-매주(목,일)",영업시간:주중 11:30 ~ 21:30/휴식:주중 14:30 ~ 18:00,"아담한 스시집 하쯔호입니다. 따로 테이블은 없으며 다찌로 구성되 있습니다. 메뉴는 오로지 런치, 디너로 정해져 있습니다. 가성비가 아주 좋다는 평을 받고 있으며 다양한 스시와 사시미, 주방장 오마카세를 맛볼 수 있는 곳입니다.","스시 런치:45000,오마카세 런치:70000,스시 디너:70000,오마카세 디너:100000",아담한 공간 가성비 최고 스시집,서울특별시 영등포구 여의동로 213,하쯔호
,영업시간:매일 12:00 ~ 22:00/휴식:매일 15:30 ~ 17:00,"어릴때부터 양반집을 돌아다니며 전통 음식을 배운 주인이 운영하는 한식당입니다. 이 집의 대표 메뉴는 간장게장인데, 7년 동안 숙성시켜 불순물과 텁텁한 맛을 없앴고, 약재를 넣어 달인 간장을 사용하며, 꽃게는 서산에서 잡은 것만 쓴다고 합니다.","간장게장(중):55000,갈비찜:28000,장어구이:30000",직접 담근 숙성 간장으로 만든 게장,서울특별시 종로구 북촌로 20-7,큰기와집
"연휴-설날 전일,연휴-추석 익일,연휴-설날 대체공휴일,연휴-설날 전체,연휴-추석 당일,연휴-설날 익일,연휴-추석 전일,연휴-설날 당일,연휴-추석 대체공휴일,연휴-추석 전체",영업시간:매일 11:30 ~ 21:00,"정갈한 느낌이 살아있는 한식집입니다. 붉은 벽돌로 둥글게 쌓아올린 입구를 지나 돌계단을 통해 지하로 내려가면 온돌방의 소박한 공간이 나타납니다. 가야금 산조가 들리는 온돌에 앉아 걸쭉한 들깨 국물로 맛을 낸 들깨 수제비와 나물을 넣은 곤드레 솥밥, 시원한 얼음육수와 김치로 맛을 낸 묵사발, 바싹 불고기 등을 맛볼 수 있습니다. 저녁에는 생선구이, 김치 부추전 등을 안주 삼아 술을 먹는 손님들도 많다고 합니다. 일요일은 예약을 받지 않습니다.","바싹불고기정식:19000,고등어구이:14000",곤드레 솥밥과 묵사발이 맛있는 곳,서울특별시 강남구 언주로165길 7-4,장사랑
